experiment,embedding_dim,precision,candidate_size,num_samples,t2v_recall@10,v2t_recall@10,avg_recall@10,t2v_mrr,v2t_mrr,avg_mrr,t2v_ndcg@10,v2t_ndcg@10,avg_ndcg@10,t2v_time,v2t_time,total_time,memory_usage_mb,queries_per_second,mb_per_query
dim_256_prec_fp16_cand_100,256,fp16,100,1000,0.118,0.099,0.1085,0.03100753968253968,0.02900674603174603,0.030007142857142857,0.050559642388960255,0.04501514509642787,0.04778739374269406,0.269542932510376,0.27054429054260254,0.5400872230529785,0.48828125,1851.5527813215967,0.00048828125
dim_256_prec_fp16_cand_200,256,fp16,200,1000,0.051,0.045,0.048,0.01616666666666667,0.014206349206349205,0.015186507936507937,0.02414436601995373,0.021294410664104618,0.022719388342029176,0.5111110210418701,0.5191605091094971,1.0302715301513672,0.48828125,970.6179106522338,0.00048828125
dim_256_prec_fp16_cand_300,256,fp16,300,1000,0.03,0.03,0.03,0.009475793650793651,0.008393650793650792,0.008934722222222222,0.014183517189694619,0.013416144483307156,0.013799830836500888,0.7463569641113281,0.7609741687774658,1.507331132888794,0.48828125,663.4242325264682,0.00048828125
dim_256_prec_fp16_cand_400,256,fp16,400,1000,0.025,0.026,0.025500000000000002,0.008336507936507937,0.007774603174603174,0.008055555555555555,0.012118079367695022,0.011948471792323478,0.01203327558000925,0.9798839092254639,0.9972951412200928,1.9771790504455566,0.48828125,505.7710882454729,0.00048828125
dim_256_prec_fp16_cand_500,256,fp16,500,1000,0.024,0.021,0.0225,0.007023412698412698,0.005813095238095239,0.006418253968253969,0.010916034648368135,0.009269118113939533,0.010092576381153833,1.2051873207092285,1.232403039932251,2.4375903606414795,0.48828125,410.24120219151126,0.00048828125
dim_256_prec_int8_cand_100,256,int8,100,1000,0.117,0.086,0.1015,0.03846825396825397,0.027086904761904763,0.03277757936507937,0.05648614541838068,0.04048337629360576,0.04848476085599322,0.12880229949951172,0.12829089164733887,0.2570931911468506,0.244140625,3889.640155537235,0.000244140625
dim_256_prec_int8_cand_200,256,int8,200,1000,0.045,0.045,0.045,0.013651984126984125,0.013750396825396825,0.013701190476190474,0.020895126182864373,0.020777030730497123,0.02083607845668075,0.21577191352844238,0.2154076099395752,0.4311795234680176,0.244140625,2319.219595487526,0.000244140625
dim_256_prec_int8_cand_300,256,int8,300,1000,0.032,0.04,0.036000000000000004,0.00950595238095238,0.01133015873015873,0.010418055555555555,0.014760212240180213,0.017829323229181838,0.016294767734681026,0.2906358242034912,0.2946662902832031,0.5853021144866943,0.244140625,1708.5193701666235,0.000244140625
dim_256_prec_int8_cand_400,256,int8,400,1000,0.029,0.032,0.0305,0.0067253968253968245,0.009498015873015873,0.00811170634920635,0.01175147365524237,0.014664312453640818,0.013207893054441594,0.37631654739379883,0.3803861141204834,0.7567026615142822,0.244140625,1321.5230378585443,0.000244140625
dim_256_prec_int8_cand_500,256,int8,500,1000,0.02,0.019,0.0195,0.004223412698412698,0.007273412698412699,0.005748412698412699,0.007786183690996064,0.010013806789017352,0.008899995240006708,0.46610450744628906,0.5280358791351318,0.9941403865814209,0.244140625,1005.8941508640734,0.000244140625
dim_256_prec_int4_cand_100,256,int4,100,1000,0.088,0.098,0.093,0.02541984126984127,0.029511111111111113,0.027465476190476193,0.039663612394887686,0.04507607557760867,0.04236984398624818,0.14014291763305664,0.13943815231323242,0.27958106994628906,0.1220703125,3576.7800738158426,0.0001220703125
